Date,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-01,1.5,83.5,51.0,67.5,51.0,56.5,0.0,29.14,29.82,2.2,26.0,9.4
2007-05-02,1.5,59.5,42.5,51.5,42.0,47.0,0.0,29.41,30.085,13.15,3.0,13.4
2007-05-03,1.5,66.5,47.0,57.0,40.0,49.0,0.0,29.425,30.12,12.3,6.5,12.55
2007-05-04,1.5,72.0,50.0,58.0,41.5,50.0,0.0,29.335,30.045,10.25,7.5,10.6
2007-05-05,1.5,66.0,53.5,60.0,38.5,49.5,,29.43,30.095,11.45,7.0,11.75
2007-05-06,1.5,68.0,50.5,59.5,30.0,46.0,0.0,29.595,30.285,14.1,10.5,14.75
2007-05-07,1.5,83.5,48.5,66.0,40.0,53.5,0.0,29.41,30.12,8.55,17.5,10.2
2007-05-08,1.5,81.0,57.0,69.0,57.5,62.5,0.0,29.325,30.025,2.6,9.5,5.6
2007-05-09,1.5,76.5,62.0,69.5,59.5,63.0,0.075,29.245,29.935,3.9,8.0,6.05
2007-05-10,1.5,83.5,57.5,70.5,52.0,60.5,0.0,29.23,29.915,1.35,13.0,4.0
2007-05-11,1.5,71.5,50.0,61.0,43.0,51.0,0.0,29.36,30.035,11.5,19.5,12.85
2007-05-12,1.5,64.5,46.5,55.5,36.5,46.0,0.0,29.515,30.195,12.55,2.0,12.95
2007-05-13,1.5,69.0,43.5,56.5,32.5,46.0,0.0,29.52,30.24,6.5,12.5,7.85
2007-05-14,1.5,90.0,55.0,72.5,46.0,58.5,0.0,29.27,29.975,15.5,21.0,15.95
2007-05-15,1.5,81.0,56.5,69.0,56.0,61.0,0.49,29.16,29.835,8.1,26.0,11.55
2007-05-16,1.5,65.0,44.5,55.0,42.5,47.5,0.105,29.36,30.03,7.9,36.0,12.0
2007-05-17,1.5,61.5,43.5,53.0,32.0,43.0,0.0,29.585,30.27,11.1,2.0,11.75
2007-05-18,1.5,70.5,42.5,57.0,30.5,46.5,0.0,29.565,30.255,4.4,23.5,6.5
2007-05-19,1.5,80.0,56.0,68.0,38.0,53.0,0.0,29.375,30.08,11.1,23.5,11.4
2007-05-20,1.5,69.0,43.5,56.5,40.5,44.5,0.09,29.41,30.11,9.5,3.5,10.2
2007-05-21,1.5,79.5,45.0,62.5,50.0,56.5,0.0,29.36,30.055,6.3,10.5,8.0
