,Species,Block,Street,Trap,Latitude,Longitude,AddressAccuracy,WnvPresent,year,month,day,Lat_int,Long_int,WnvPercent,WnvNotPresent,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,WetBulb_x,Heat_x,Cool_x,Sunrise_x,Sunset_x,Depth_x,SnowFall_x,PrecipTotal_x,StnPressure_x,SeaLevel_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,Tavg_y,DewPoint_y,WetBulb_y,Heat_y,Cool_y,PrecipTotal_y,StnPressure_y,SeaLevel_y,ResultSpeed_y,ResultDir_y,AvgSpeed_y
0,2,41,36,1,41.95469,-87.800991,9,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
1,3,41,36,1,41.95469,-87.800991,9,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,3,62,30,8,41.994991,-87.769279,9,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,2,79,120,15,41.974089,-87.824812,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
4,3,79,120,15,41.974089,-87.824812,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
5,3,15,138,34,41.9216,-87.666455,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
6,3,25,123,35,41.891118,-87.654491,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
7,2,11,134,37,41.867108,-87.654224,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
8,3,11,134,37,41.867108,-87.654224,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
9,3,11,117,38,41.896282,-87.655232,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
10,2,21,45,39,41.919343,-87.694259,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
11,2,22,18,41,41.921965,-87.632085,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
12,3,22,18,41,41.921965,-87.632085,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
13,2,22,95,68,41.688324,-87.676709,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
14,3,22,95,68,41.688324,-87.676709,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
15,3,11,81,75,41.862292,-87.64886,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
16,3,17,112,77,41.720848,-87.666014,9,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
17,3,22,111,80,41.731922,-87.677512,8,0,2007,05,29,41,-87,0.0,1,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
